# .test .cputime .temperature .time_mat1 .time_mat2
150 0.157811  4.383 0.000715 0.000849
151 0.160896  3.896 0.000699 0.000859
152 0.158915  3.896 0.000738 0.000885
153 0.163667  4.383 0.000718 0.000886
154 0.168441  3.409 0.000755 0.000899
155 0.162263  3.896 0.000737 0.000910
156 0.163224  4.383 0.000774 0.000916
157 0.165452  4.383 0.000758 0.000995
158 0.164882  4.383 0.000792 0.000947
159 0.166211  4.383 0.000777 0.000965
160 0.170814  4.383 0.000872 0.000967
161 0.166649  4.383 0.000853 0.001084
162 0.170393  3.896 0.000828 0.000988
163 0.170786  3.409 0.000830 0.001002
164 0.170324  3.896 0.000896 0.001012
165 0.172459  4.383 0.000850 0.001040
166 0.174322  2.435 0.000868 0.001081
167 0.173943  3.409 0.000870 0.001076
168 0.174028  4.870 0.000896 0.001090
169 0.176469  3.896 0.000934 0.001078
170 0.176102  4.383 0.000905 0.001124
171 0.177143  3.896 0.000908 0.001122
172 0.178260  4.383 0.000918 0.001127
173 0.176983  5.357 0.000938 0.001141
174 0.179073  4.383 0.000981 0.001148
175 0.182686  4.870 0.000989 0.001169
176 0.182519  4.870 0.001049 0.001171
177 0.184972  3.896 0.000979 0.001187
178 0.184459  4.383 0.001017 0.001203
179 0.185103  3.896 0.001033 0.001225
180 0.185955  4.383 0.001007 0.001227
181 0.184737  4.383 0.001105 0.001250
182 0.196094  3.896 0.001031 0.001356
183 0.190426  4.870 0.001085 0.001273
184 0.190225  4.383 0.001039 0.001292
185 0.190247  4.383 0.001115 0.001326
186 0.192117  3.896 0.001064 0.001324
187 0.196669  4.870 0.001096 0.001342
188 0.194762  5.357 0.001086 0.001430
189 0.196743  3.896 0.001122 0.001425
190 0.194868  4.870 0.001151 0.001388
191 0.197112  4.383 0.001141 0.001401
192 0.197538  4.870 0.001135 0.001437
193 0.198354  4.870 0.001209 0.001433
194 0.200382  4.383 0.001184 0.001474
195 0.201057  4.383 0.001193 0.001468
196 0.201650  5.357 0.001267 0.001483
197 0.202666  4.870 0.001255 0.001505
